Position,Album,Artists,Total,Daily
"1,581",Chip Chrome & The Mono-Tones,The Neighbourhood,922330591,527790
"1,582",Corinne Bailey Rae,Corinne Bailey Rae,921143772,471464
"1,583",What A Wonderful World,Louis Armstrong,921129058,536197
"1,584",42,Sech,921042345,164036
"1,585",Esto Sí Es Cumbia,Los Ángeles Azules,920033168,415093
"1,586",Piano Man,Billy Joel,920003789,379369
"1,587",All That You Can’t Leave Behind,U2,918310764,410319
"1,588",Flakk Daniel's LP,Rels B,918180384,518678
"1,589",Formula Of Love: O+T=<3,Twice,917515059,452160
"1,590",The Breakfast Club,Various Artists,916516127,499693
"1,591",Hyperion,Gesaffelstein,915983056,532341
"1,592",Animal,Various Artists,915810641,2586973
"1,593","Steven Universe, Vol. 1",Various Artists,915749004,623064
"1,594",Detroit 2,Big Sean,914676169,154223
"1,595",K.O.B. Live,Aventura,913880103,1583886
"1,596",Aretha Now,Aretha Franklin,913389519,358120
"1,597",Syre,Jaden,912884709,125065
"1,598",Sirio,Lazza,912502487,541703
"1,599",Jeannine / Amina,Lomepal,911915388,195098
"1,600",Carrie & Lowell,Sufjan Stevens,911899989,551716
"1,601",Sgt. Pepper's Lonely Hearts Club Band,The Beatles,911499142,305336
"1,602",Blurred Lines,Robin Thicke,911134022,247850
"1,603",Rainbow,Kesha,910940657,135202
"1,604",Move Along,The All-American Rejects,910765564,488596
"1,605",Sixdo,Feid,910010129,922924
"1,606",#Update,Yandel,908657628,142934
"1,607",Kid A,Radiohead,908049673,548940
"1,608",Sixpence None The Richer,Sixpence None The Richer,907947158,845025
"1,609",Radical Optimism,Dua Lipa,906651393,5670879
"1,610",ABBA,ABBA,906513652,678403
"1,611","Control The Streets, Volume 1",Various Artists,906292019,119918
"1,612",Mi Sangre,Juanes,906039138,654321
"1,613",Time,Mr.Kitty,905571038,519699
"1,614",Love Me Now?,Tory Lanez,905549451,92567
"1,615",Twenty One Pilots,Twenty One Pilots,905444062,240082
"1,616",Exotica,Purple Disco Machine,905295899,429672
"1,617",Let It Bleed,The Rolling Stones,905019702,473161
"1,618",The Forever Story,JID,903946573,1162559
"1,619",Cruisin' With Junior H,Junior H,902608975,764881
"1,620",Confetti,Little Mix,902014933,132059
"1,621",African Giant,Burna Boy,901525756,454057
"1,622",Achtung Baby,U2,899133183,420485
"1,623",First Steps,Two Feet,898163910,253759
"1,624",Five,Prince Royce,897905428,436292
"1,625",TattleTales,6ix9ine,897742508,206466
"1,626",Ginger,Brockhampton,897519534,156028
"1,627",Slime & B,Chris Brown & Young Thug,896584477,257713
"1,628",Pluto x Baby Pluto,Future,895973477,330617
"1,629",Another Level,Blackstreet,894930958,445480
"1,630",Stronger,Kelly Clarkson,894676370,336910
"1,631","Summer,",Jeremy Zucker,894586791,258259
"1,632",Split Decision,Dave & Central Cee,893449792,1193818
"1,633",Evering Road,Tom Grennan,892755085,271002
"1,634",Experiment,Kane Brown,891787532,179175
"1,635",Love For Guala,Flipp Dinero,891780485,165750
"1,636",Battle Studies,John Mayer,891644390,183903
"1,637",Never Enough,Daniel Caesar,890416242,1643432
"1,638",Sin Bandera,Sin Bandera,889872916,603772
"1,639",Simply Deep,Kelly Rowland,889381677,551138
"1,640",Yo Creo,Carlos Rivera,888880088,279814
"1,641",Imagine,John Lennon,888309255,366426
"1,642",Faith,George Michael,887095801,0
"1,643",Non Stop Erotic Cabaret,Soft Cell,886568531,725596
"1,644",3 (The Purple Album),Lukas Graham,886506834,191044
"1,645",Automatic For The People,R.E.M.,886442201,408218
"1,646",Melt,Shaed,886282813,182740
"1,647",31 Minutes To Takeoff,Mike Posner,885589135,583146
"1,648",Wrapped In Red,Kelly Clarkson,885492155,17066
"1,649",The Lion King: The Gift,Beyoncé & Various Artists,884958596,243363
"1,650",Cottonwood,NLE Choppa,884662912,345355
"1,651",Agent Provocateur,Foreigner,883425953,590067
"1,652",In Return,Odesza,883397738,191567
"1,653",Coco,Colbie Caillat,883274238,328172
"1,654",Entren Los Que Quieran,Calle 13,883164361,355192
"1,655",Mura Masa,Mura Masa,882695960,196536
"1,656",All-Amerikkkan Badass,Joey Badass,882641818,182096
"1,657",Look Sharp!,Roxette,882508909,500087
"1,658",While We Wait,Kehlani,881962598,387123
"1,659",Songs In The Key Of Life,Stevie Wonder,881411204,385401
"1,660",Uno,Nacho,880967412,158512
"1,661",Battleground,The Wanted,880375670,427840
"1,662",Christmas Songs By Sinatra,Frank Sinatra,880036518,9933
"1,663",Whitesnake (1987),Whitesnake,879418922,0
"1,664",Walls,Louis Tomlinson,878933630,182720
"1,665",What Do You Think About The Car?,Declan McKenna,878735712,983732
"1,666",High School Musical 2,Various Artists,878571593,405990
"1,667",Everyday Life,Coldplay,878510306,270594
"1,668",Alter Ego,Prince Royce,878133445,215189
"1,669",Home State,Jordan Davis,877984205,400069
"1,670",Picture Show,Neon Trees,877922238,569138
"1,671",Aashiqui 2 (????? 2),"Jeet Gannguli, Mithoon & Ankit Tiwari",877479996,1262633
"1,672",My Kinda Party,Jason Aldean,877416204,362911
"1,673",Cheese,Stromae,877262411,405252
"1,674",True Colors,Zedd,877167686,200703
"1,675",Drops Of Jupiter,Train,877104320,738641
"1,676",Wellerman - The Album,Nathan Evans,875929276,427461
"1,677",Happy Nation / The Sign,Ace of Base,875636722,973653
"1,678",Cottonwood 2,NLE Choppa,875456568,1162034
"1,679",Know No Better,Major Lazer,874453951,198039
"1,680",Gentleman 2.0,Dadju,873818856,471925
"1,681","Cover Sessions, Vol. 4",Boyce Avenue,873441813,193351
"1,682",Poison / Antidote,Dadju,873277534,406222
"1,683",Onka's Big Moka,Toploader,873016923,728660
"1,684",Don't You Fake It,The Red Jumpsuit Apparatus,872241600,455660
"1,685",CKay The First,CKay,871772745,316591
"1,686",Sail Out,Jhené Aiko,871140049,712777
"1,687",Shakira.,Shakira,870898553,509108
"1,688",The Number Of The Beast,Iron Maiden,870692462,345834
"1,689",Sunshine On Leith,The Proclaimers,870414120,385024
"1,690",I Want To Die In New Orleans,Suicideboys,870101259,348481
"1,691",Long Term Effects Of Suffering,Suicideboys,870036658,683083
"1,692","Grandson, Vol. 1",King Von,869862414,865581
"1,693",PartyNextDoor Two,PartyNextDoor,868969565,774088
"1,694",Wish,The Cure,868210586,456588
"1,695",Manusia,Tulus,867395108,1030362
"1,696",Everything Changed…,Social House,867283027,345178
"1,697",Los Campeones Del Pueblo,Wisin & Yandel,866929008,148636
"1,698",Clouds,NF,866609534,389662
"1,699",The Incredible True Story,Logic,866604026,92291
"1,700",Onepointfive,Aminé,866150619,145216
"1,701",Attitude,Mrs. Green Apple,865422589,974746
"1,702",Próximo Passo (Ao Vivo),Hugo & Guilherme,865220510,367897
"1,703",White Pony,Deftones,865155321,781463
"1,704",Tudo Em Paz,Jorge & Mateus,864083933,166514
"1,705",Anything Goes,Florida Georgia Line,863045479,186543
"1,706",She Is Coming,Miley Cyrus,862902714,160579
"1,707",Swan Songs,Hollywood Undead,862548643,323367
"1,708",Lights,Ellie Goulding,862177740,193810
"1,709",Tell Me I'm Pretty,Cage The Elephant,862108038,308146
"1,710",The Fray,The Fray,862095944,298735
"1,711",Portals,Melanie Martinez,861127160,1282092
"1,712",Goodbye Lullaby,Avril Lavigne,861030494,384863
"1,713",Talking Dreams,Echosmith,860630574,182435
"1,714",Palmen Aus Plastik 2,Bonez MC & RAF Camora,860448982,169563
"1,715",Con Todas Las Fuerzas,Banda MS De Sergio Lizárraga,859609384,269398
"1,716",Hey U X,Benee,859142513,149245
"1,717",Tribute,John Newman,858844091,485506
"1,718",Bangarang,Skrillex,858723753,195387
"1,719",Temporada De Reggaetón 2,Duki,858712506,522645
"1,720","Fórmula, Vol. 3",Romeo Santos,858424847,755668
"1,721",Las Leyendas Nunca Mueren,Anuel AA,858378396,581263
"1,722",Goodies,Ciara,858196120,436741
"1,723",Loyalty Over Royalty,CJ,857548207,152749
"1,724",M.I.L.S 3,Ninho,857003387,341839
"1,725",Nostalgia,Chase Atlantic,856592022,857831
"1,726",Yourself Or Someone Like You,Matchbox Twenty,856107434,487216
"1,727",O Embaixador In Cariri (Ao Vivo),Gusttavo Lima,855771583,88569
"1,728",Machine Head,Deep Purple,855677531,372262
"1,729",Day & Age,The Killers,855435345,336095
"1,730",Guerra,Carlos Rivera,854472084,304725
"1,731",Slime Language 2,Various Artists,853807367,287780
"1,732",Give Or Take,Giveon,853542241,505076
"1,733",A Hard Day's Night,The Beatles,853381063,514358
"1,734",Elvis,Various Artists,853309930,397020
"1,735",Dañado,Ivan Cornejo,852986274,820470
"1,736",Eliminator,ZZ Top,852051139,599161
"1,737",Aries,Luis Miguel,852024781,475810
"1,738",Quavo Huncho,Quavo,851543715,101325
"1,739",In Your Honor,Foo Fighters,850799948,341914
"1,740",Madvillainy,MF Doom & Madlib,850607818,627305
"1,741",Reik,Reik,850243189,757180
"1,742",Wolfgang Amadeus Phoenix,Phoenix,850018186,371544
"1,743",Virgo World,Lil Tecca,849755293,567512
"1,744",Máquina Do Tempo,Matuê,849643500,555908
"1,745",A Gangsta's Pain,Moneybagg Yo,848192806,427106
"1,746",Goldmine,Gabby Barrett,847958906,362560
"1,747",At What Cost,GoldLink,847949598,336431
"1,748",Wounded Rhymes,Lykke Li,847926015,665444
"1,749",Forajido EP 1,Christian Nodal,847691540,906158
"1,750",Menos É Mais (Ao Vivo),Henrique & Juliano,847679537,438942
"1,751",Five Seconds Flat,Lizzy McAlpine,846984376,877324
"1,752",Everytime We Touch,Cascada,846114714,475906
"1,753",Malibu,Anderson .Paak,845891691,192298
"1,754",Todo Cambio,Camila,845802324,1086914
"1,755",Segundo Romance,Luis Miguel,844844502,702509
"1,756",Sounds Good Feels Good,5 Seconds of Summer,844421154,143022
"1,757",The Book 2,Yoasobi,843894105,441078
"1,758",Get Born,Jet,843809092,433432
"1,759",The Ugly EP,Hotel Ugly,843056503,1683198
"1,760",Lil Boat 3.5,Lil Yachty,841665017,685527
"1,761",Can't Buy A Thrill,Steely Dan,841475493,558533
"1,762",D-Day,Agust D,840588709,1204458
"1,763",High School Musical,Various Artists,840086900,407078
"1,764",Próxima Estación: Esperanza,Manu Chao,840008482,669596
"1,765",Face The Sun / Sector 17,Seventeen,839746022,768215
"1,766",L.A. Woman,The Doors,839516566,338267
"1,767",The Young And The Hopeless,Good Charlotte,838652551,371109
"1,768",In A Time Lapse,Ludovico Einaudi,838083591,535566
"1,769",Being Funny In A Foreign Language,The 1975,837182550,1121363
"1,770",Sounds Of Silence,Simon & Garfunkel,836985119,549873
"1,771",It Won't Be Soon Before Long,Maroon 5,836598395,367073
"1,772",La Nena De Argentina,María Becerra,836328834,619302
"1,773",8 Letters,Why Don't We,836110739,304766
"1,774",Mon Cœur Avait Raison,Gims,835697523,474802
"1,775",The Album,Haddaway,835507174,787675
"1,776",Help Ever Hurt Never,Fujii Kaze,835344038,677440
"1,777",California,Blink-182,834888934,139037
"1,778",Disfruté Engañarte,La Adictiva,834814244,693044
"1,779",Get Rich Or Die Tryin',50 Cent & Various Artists,834329720,562357
"1,780",Sticky Fingers,The Rolling Stones,834167494,360520
"1,781",Listen Up! The Official 2010 FIFA World Cup Album,Various Artists,834025955,325497
"1,782","Reise, Reise",Rammstein,833844696,518021
"1,783",Stars Dance,Selena Gomez,833558692,233855
"1,784",Undertale,Toby Fox,833475914,529032
"1,785",Absolution,Muse,832576287,427003
"1,786",A Perfect Contradiction,Paloma Faith,831052131,435263
"1,787",LLNM2,Anuel AA,830666492,675744
"1,788",El Mal Querer,Rosalía,830639243,225686
"1,789",Zaba,Glass Animals,828836613,245940
"1,790",Recuerden Mi Estilo,Los Plebes Del Rancho De Ariel Camacho,828500980,323902
"1,791",Dimension: Dilemma / Answer,Enhypen,828447431,556951
"1,792",Acústico No Rio De Janeiro (Ao Vivo),Natiruts,827339206,362711
"1,793",Terra Sem Cep (Ao Vivo),Jorge & Mateus,826467308,204379
"1,794",Rockstar,Sfera Ebbasta,826455271,234889
"1,795",20,Capo Plaza,826362041,203341
"1,796",Titanic,James Horner,825898764,334532
"1,797",Soy Lo Que Quiero... Indispensable,Julión Álvarez Y Su Norteño Banda,825567896,1137124
"1,798",Pineapple Sunrise,Beach Weather,824939838,1229260
"1,799",O Embaixador (Ao Vivo),Gusttavo Lima,824825884,215195
"1,800",Dolls,Bella Poarch,824671035,309583
"1,801",Replica,Vaundy,824462646,799058
"1,802",Bookends,Simon & Garfunkel,824335893,575558
"1,803",We All Shine,YNW Melly,824204559,187626
"1,804",Siamese Dream,The Smashing Pumpkins,824044000,446226
"1,805",8701,Usher,823481270,365723
"1,806",Shake The Snow Globe,Russ,823402962,150547
"1,807",A Modern Tragedy Vol. 1,Grandson,823176999,320548
"1,808",Made In Lagos,Wizkid,823164881,488798
"1,809",30 Aniversario,La Adictiva,822849006,528439
"1,810",Royalty,Chris Brown,822313716,145990
"1,811",Good Music - Cruel Summer,Kanye West & Various Artists,822093641,230816
"1,812",Doolittle,Pixies,821970886,412598
"1,813",Thrill Of The Chase,Kygo,821785040,402923
"1,814",Il Ballo Della Vita,Måneskin,821452377,528897
"1,815",Ten Thousand Fists,Disturbed,821312418,360527
"1,816",Euphoria Season 2,Labrinth,820359742,467943
"1,817",Van Halen,Van Halen,819393481,403359
"1,818",Kala,M.I.A.,818258788,360472
"1,819",Brahmastra (????????????),Pritam,818201370,567483
"1,820",Hercules,Alan Menken,817995620,367921
"1,821",Diplo,Diplo,816902765,345343
"1,822",Ordinary Man,Ozzy Osbourne,816041778,303139
"1,823",Ripcord,Keith Urban,815606633,193001
"1,824",Seal The Deal & Let's Boogie,Volbeat,815476840,275210
"1,825",Yours,Russell Dickerson,815404890,135388
"1,826",Madman Across The Water,Elton John,815346900,372729
"1,827",Alchemical: Volume 1,Dove Cameron,815136976,521046
"1,828",Still Over It,Summer Walker,814905781,530735
"1,829",Blizzard Of Ozz,Ozzy Osbourne,814865848,417918
"1,830",Nick Jonas,Nick Jonas,814544482,307654
"1,831",Out Of Our Heads,The Rolling Stones,814317175,427363
"1,832",Playlist,Salmo,814234254,134920
"1,833",Dark & Wild,BTS,814233741,301243
"1,834",London Calling,The Clash,813899679,340991
"1,835","Sing Me A Lullaby, My Sweet Temptation",Suicideboys,813480825,1050294
"1,836",I Can't Handle Change,Roar,813452454,721423
"1,837",Make My Bed,King Princess,812614469,102139
"1,838",Levon James,King Von,812245914,798775
"1,839",La Flaca,Jarabe De Palo,812082479,599634
"1,840",Coast To Coast,Westlife,811465819,369411
"1,841",The Element Of Freedom,Alicia Keys,810820638,262579
"1,842",...But Seriously,Phil Collins,810230655,512275
"1,843",Be Not Nobody,Vanessa Carlton,810058099,411182
"1,844",Who Cares?,Rex Orange County,809293519,660377
"1,845",The Dock Of The Bay,Otis Redding,809251507,521463
"1,846",Rebel Yell,Billy Idol,809138713,668728
"1,847",Perfect Timing,Nav,808378951,113453
"1,848",Alive And Feeling Fine,Lost Frequencies,808261731,229149
"1,849",Solstis,León Larregui,808054461,665201
"1,850",Jordin Sparks,Jordin Sparks,807998518,310742
"1,851",Jolene,Dolly Parton,807633037,613479
"1,852",We're All Alone In This Together,Dave,807576909,484043
"1,853",Eres La Persona Correcta En El Momento Equivocado,Río Roma,807245006,234234
"1,854",Some Hearts,Carrie Underwood,807220134,426494
"1,855",.mp3,Emilia,807161707,1703220
"1,856",Bleach,Nirvana,806246218,857572
"1,857",Welcome To O'Block,King Von,806071009,679627
"1,858",Shelby,Lil Skies,806035738,166484
"1,859",QALF,Damso,805875485,310525
"1,860",The Sufferer & The Witness,Rise Against,805266286,348922
"1,861",- Tragedy +,Snot,805261273,195678
"1,862",Walk The Talk,Pamungkas,804728257,591288
"1,863",Providence,Hippie Sabotage,804155140,298104
"1,864",MM...Food,MF Doom,804046569,817123
"1,865",Conditions,The Temper Trap,804010311,443325
"1,866",Best Day Ever,Mac Miller,803299952,232991
"1,867",Play,Moby,803094367,389062
"1,868",Sincopa,Cartel De Santa,803061773,430629
"1,869",Camino Palmero,The Calling,802889857,407943
"1,870",Transformer,Lou Reed,802010165,264172
"1,871",Estrella,Mora,801537798,1214833
"1,872",There Is Nothing Left To Lose,Foo Fighters,801514107,404884
"1,873",The Party Album!,Vengaboys,801217404,416939
"1,874",All The Things I Never Said,Tate McRae,800214804,340329
"1,875",23,Central Cee,799896586,559255
"1,876",La Fête Est Finie,Orelsan,799690378,229681
"1,877",Ten Summoner's Tales,Sting,799135457,514562
"1,878",The Smiths,The Smiths,799118162,625013
"1,879",Big Bang,Los Enanitos Verdes,798498861,598894
"1,880",Unplugged,Eric Clapton,797872666,255631
"1,881",Cannibal,Kesha,797757331,445486
"1,882",Mar De Colores,Alvaro Soler,797745340,167509
"1,883",Una Mattina,Ludovico Einaudi,797702232,348318
"1,884",Black Sunday,Cypress Hill,797622404,395248
"1,885",Berlin Lebt 2,Capital Bra & Samra,797192699,134368
"1,886",The World From The Side Of The Moon,Phillip Phillips,797183792,312670
"1,887",Does This Look Infected?,Sum 41,796790866,442058
"1,888",Tattoo You,The Rolling Stones,796531749,524640
"1,889",México En La Piel,Luis Miguel,795616341,585473
"1,890",Pain Is Love,Ja Rule,795589913,453773
"1,891",Beautiful Thugger Girls,Young Thug,795482752,137645
"1,892",The Lo-Fis,Steve Lacy,795016139,719986
"1,893",Church Of Scars,Bishop Briggs,794258014,254119
"1,894",Believe,Cher,794130689,431340
"1,895",Whitney Houston,Whitney Houston,793077069,396581
"1,896",That's Christmas To Me,Pentatonix,792633931,28963
"1,897",On The 6,Jennifer Lopez,792405749,467176
"1,898",Self Portrait,Sasha Alex Sloan,791841052,349966
"1,899",The Voice Of The Heroes,Lil Baby & Lil Durk,791797930,366806
"1,900",Woodland,The Paper Kites,791702564,604943
"1,901",Face Value,Phil Collins,791427448,495003
"1,902",Grace,Jeff Buckley,791110621,585505
"1,903",Led Zeppelin,Led Zeppelin,790869627,295148
"1,904",Taxi Driver,Rkomi,790658111,308495
"1,905",Just Cause Y'all Waited 2,Lil Durk,790643493,415745
"1,906",Back To The Game,Paulo Londra,790391077,365381
"1,907",Mulan,Matthew Wilder & Jerry Goldsmith,790246453,326906
"1,908",Canción Animal,Soda Stereo,789839950,505990
"1,909",Hombres G (Devuélveme A Mi Chica),Hombres G,789196698,520938
"1,910",Decretos Reais,Marília Mendonça,788814810,484876
"1,911",Head In The Clouds,Various Artists,788438830,124465
"1,912",Rock Of The Westies,Elton John,787657225,578836
"1,913",My Own Lane,Kid Ink,787530014,168615
"1,914",El Día De Los Muertos,Alfredo Olivas,787242609,880825
"1,915",All Out,K/DA,787226413,322227
"1,916",Kiss Land,The Weeknd,787026098,244466
"1,917",Map Of The Soul: 7 - The Journey,BTS,786490707,161043
"1,918",The New Toronto 3,Tory Lanez,786423239,354579
"1,919",From A Room: Volume 1,Chris Stapleton,785575729,729073
"1,920",Lovestrong.,Christina Perri,785297930,198980
"1,921",Bewitched,Laufey,784565502,3276832
"1,922",System Of A Down,System Of A Down,784132973,585187
"1,923",Go Live,Stray Kids,784100174,434607
"1,924",Girl,Maren Morris,783628324,138435
"1,925",Privilegio,Alfredo Olivas,783322902,523889
"1,926",Yeh Jawaani Hai Deewani (?? ????? ?? ??????),Pritam,783116064,864416
"1,927",Labour Of Love,UB40,783021612,425315
"1,928","Nostalgia, Ultra",Frank Ocean,782794340,727773
"1,929",Puberty 2,Mitski,781909427,1152529
"1,930",Elvis' Christmas Album,Elvis Presley,781254654,18975
"1,931",Based On A True Story...,New West,780880730,931937
"1,932",America,America,779856062,402769
"1,933",Love?,Jennifer Lopez,779716217,580494
"1,934",Kaleidoscope Dream,Miguel,779684052,302094
"1,935",Bloom,Rüfüs Du Sol,779567307,617317
"1,936",Unbroken,Demi Lovato,779424065,184005
"1,937",True Believers,Darius Rucker,779241110,421122
"1,938",Awake,Illenium,778985607,201019
"1,939",All Over The Place,KSI,778823277,134623
"1,940",Magna Carta... Holy Grail,Jay-Z,778624392,164888
"1,941",La Cagaste... Burt Lancaster,Hombres G,778304584,553658
"1,942",De Adentro Pa Afuera,Camilo,778197889,383716
"1,943","No Pads, No Helmets...Just Balls",Simple Plan,777871956,453983
"1,944",Aquarium,Aqua,777832112,458450
"1,945",High School Musical 3: Senior Year,Various Artists,777569983,300259
"1,946",Gabriel,Keshi,776843034,768302
"1,947",Shine,Estelle,776072683,428718
"1,948",Relaxing Piano Lullabies And Natural Sleep Aid For Baby Sleep Music,Baby Lullaby Academy,775740908,228369
"1,949",Brent,Jeremy Zucker & Chelsea Cutler,774616267,188350
"1,950",The End Is Where We Begin,Thousand Foot Krutch,774257061,530131
"1,951",The After Taste,Kenya Grace,774030866,1273336
"1,952",Revelación,Selena Gomez,773830844,119954
"1,953",Motivando A La Yal,Zion & Lennox,773130304,483954
"1,954",Suga,Megan Thee Stallion,772359927,158473
"1,955",Traumazine,Megan Thee Stallion,772315718,448598
"1,956",Otro Nivel De Música,J Alvarez,771803146,689044
"1,957",Pa' Luego Es Tarde,Yuridia,771799829,1153068
"1,958",A Song For Every Moon,Bruno Major,771461590,176402
"1,959",Il Coraggio Dei Bambini,Geolier,771164216,632553
"1,960",Persona,Marracash,770998676,282062
"1,961",Super Unhealthy,Anne-Marie,770480605,1207373
"1,962",R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg,770427190,368090
"1,963",Jack In The Box,J-Hope,769308030,397819
"1,964",Beach House 3,Ty Dolla Sign,769032328,60387
"1,965",Soy El Mismo,Prince Royce,768969006,319968
"1,966",Hotel Cabana,Naughty Boy,768534360,307716
"1,967",Femme Fatale,Britney Spears,767453137,323183
"1,968",Melanchole,Salvia Palth,765894327,1320207
"1,969",I Used To Know Her,H.E.R.,764597551,354766
"1,970",Decide,Djo,763857044,4523957
"1,971",Atrapado En Un Sueño,Junior H,763731092,484243
"1,972",Extreme II: Pornograffitti,Extreme,763648924,372197
"1,973",Little Voice,Sara Bareilles,763601217,236811
"1,974",Hazbin Hotel,Sam Haft & Andrew Underberg,763534588,2452730
"1,975",El Abayarde,Tego Calderón,762921040,691049
"1,976",Black Panther: Wakanda Forever,Various Artists,762663154,418699
"1,977",Fight Back: The Collection,Neffex,762541870,339464
"1,978",Sigan Hablando,Fuerza Regida,762418882,609685
"1,979",Fallin',StaySolidRocky,762091714,332792
"1,980",Commodores,Commodores,760095810,357505
"1,981",Wild World,Bastille,760094374,156679
"1,982",Doce 22,Luísa Sonza,759994261,324330
"1,983",How To Be Human,Chelsea Cutler,759870170,174063
"1,984",Anthrazit,RAF Camora,759618369,155394
"1,985",Luan City (Ao Vivo),Luan Santana,759310019,316823
"1,986",Amar Es Combatir,Maná,758691870,546403
"1,987",Hellbilly Deluxe,Rob Zombie,758494111,691152
"1,988",Me Against The World,2Pac,757441390,345423
"1,989",These Two Windows,Alec Benjamin,757352156,168338
"1,990",We Are Not Your Kind,Slipknot,757262405,336320
"1,991",Katrina And The Waves,Katrina & The Waves,757223314,385450
"1,992",Fortune,Chris Brown,757074448,159564
"1,993",Border: Carnival,Enhypen,756780410,472570
"1,994",Tem Moda Pra Tudo (Ao Vivo),Matheus & Kauan,756069095,303142
"1,995",Vices & Virtues,Panic! At The Disco,755929991,153036
"1,996",Jamie,Montell Fish,755267943,1109797
"1,997",The Book 3,Yoasobi,754961240,895460
"1,998",TV,Tai Verdes,754728108,283968
"1,999",Finding Beauty In Negative Spaces,Seether,754271457,432874
"2,000",Into The Wild,Eddie Vedder,754006659,292429
"2,001",Royal Blood,Royal Blood,753864913,216772
"2,002",Truce,Frenship,753644373,77448
"2,003",From The Fires,Greta Van Fleet,753579942,378950
"2,004","So Wrong, It's Right",All Time Low,753548914,372688
"2,005",Peligro,Reik,753148708,373106
"2,006",War Is The Answer,Five Finger Death Punch,753028413,355145
"2,007",Ma Fleur,The Cinematic Orchestra,752503211,500967
"2,008",Majestic,Luciano,752303950,412218
"2,009",Brother Love's Travelling Salvation Show / Sweet Caroline,Neil Diamond,752257902,349976
"2,010",Ahí Vamos,Gustavo Cerati,752188415,481848
"2,011",Point Of Know Return,Kansas,751782808,667693
"2,012",Duality,Duke Dumont,751723879,350908
"2,013",Licensed To Ill,Beastie Boys,751613501,442116
"2,014",Innuendo,Queen,751507658,244396
"2,015",Trick,Alex G,751441368,1435951
"2,016",Christina Aguilera,Christina Aguilera,751353241,500131
"2,017",I Think You Think Too Much Of Me,Eden,751242061,104426
"2,018",Beautiful Lies,Birdy,751169963,243009
"2,019",Vivi En Do,Dread Mar I,751004673,689597
"2,020",The Death Of Peace Of Mind,Bad Omens,750685707,1226218
"2,021",40oz. To Freedom,Sublime,750663902,506266
"2,022",First Band On The Moon,The Cardigans,750521149,938477
"2,023",Left Of The Middle,Natalie Imbruglia,750276752,678223
"2,024",Doll Domination,The Pussycat Dolls,749523877,296133
"2,025",Commando,Niska,749485905,241789
"2,026",Chama Meu Nome,Pedro Sampaio,749298925,241611
"2,027",What Is Love? / Summer Nights,Twice,749114158,355642
"2,028",Yo Te Quiero Pa Mi,Dalex,748133881,262941
"2,029",Anniversary,Bryson Tiller,747752005,726296
"2,030",USB,Fred Again..,747441285,1435542
"2,031",Bad Habits,Nav,747140198,80849
"2,032",The ReVe Festival: Finale,Red Velvet,746882849,207879
"2,033",iSouljaBoyTellem,Soulja Boy,746729497,462384
"2,034",Savage Garden,Savage Garden,745964843,380865
"2,035",Visionary,Farruko,745735405,182527
"2,036",Para Siempre,Vicente Fernández,745193686,601392
"2,037",Disintegration,The Cure,745151345,426422
"2,038",Monstercat 027 - Cataclysm,Various Artists,744956710,163532
"2,039",Amo,Bring Me The Horizon,744411491,250835
"2,040",Caravana,WOS,744113594,289356
"2,041",20 Años,Luis Miguel,744040632,782855
"2,042",Buena Vista Social Club,Buena Vista Social Club,743348294,371275
"2,043",Hell: The Sequel,"Eminem & Royce Da 5'9""",743036596,332758
"2,044",The 2nd Law,Muse,742449060,215060
"2,045",As She Pleases,Madison Beer,742071752,85185
"2,046",The Sweet Escape,Gwen Stefani,741119967,527996
"2,047",Tapestry,Carole King,740697483,292412
"2,048",Center Point Road,Thomas Rhett,740431390,204712
"2,049",Humbug,Arctic Monkeys,740256738,328448
"2,050",Rompiendo Fronteras,Alejandro Fernández,740072013,185040
"2,051",Only One Flo (Part 1),Flo Rida,739671719,488470
"2,052",Forever,Don Diablo,739522775,217226
"2,053",Nothings Ever Good Enough,Iann Dior,739464971,145988
"2,054",This Unruly Mess I've Made,Macklemore & Ryan Lewis,738883925,148766
"2,055",Los Extraterrestres,Wisin & Yandel,738632673,581444
"2,056",First Love,Yiruma,738569903,221148
"2,057",Subtract (-),Ed Sheeran,738566903,579683
"2,058",Pegasus / Neon Shark VS Pegasus,Trippie Redd,738473423,233859
"2,059",Festa Das Patroas,Marília Mendonça & Maiara & Maraisa,738143994,208048
"2,060",These Things Happen Too,G-Eazy,737554279,152261
"2,061",Come Clean,Puddle Of Mudd,737401563,426114
"2,062",Sucker,Charli XCX,737121243,239372
"2,063",Your Name. (?????),Radwimps & Kazuma Jinnouchi,736524734,437806
"2,064",Zoo,Russ,735911335,115132
"2,065",Girls,Aespa,734631137,567537
"2,066",Some Girls,The Rolling Stones,734287131,551109
"2,067",A Charlie Brown Christmas,Vince Guaraldi Trio,733138314,32235
"2,068",Gang Signs & Prayer,Stormzy,732532510,115635
"2,069",Beauty And The Beast,Alan Menken,732377250,260381
"2,070",Pop Food,Jack Stauber,732337408,219757
"2,071",Come Around Sundown,Kings of Leon,731955988,236175
"2,072",Blu Celeste,Blanco,731385305,194960
"2,073",Paraíso Particular (Ao Vivo),Gusttavo Lima,731131350,2030830
"2,074",R.O.O.T.S. (Route Of Overcoming The Struggle),Flo Rida,731093206,423951
"2,075",ENR,Alex Rose,731068348,368331
